user_id	level
22789766	1
16017475	1
11866582	1
24905240	1
15976697	1
30864583	1
293131808	1
16303106	1
20635633	1
18622869	1
13218102	1
21619519	1
14056708	1
18713552	1
18791763	1
21982720	1
26299078	1
16789970	1
335369838	1
72638170	1
22162854	1
19608297	1
50452197	1
130617778	1
85606078	1
141990034	1
14133964	1
14730894	1
16129920	1
60919240	1
9715012	1
7841652	1
16076032	1
34113439	1
17293897	1
20733972	1
35474809	1
37666933	1
54275319	1
66263785	1
6794502	1
14335586	1
44209472	1
14410652	1
21268897	1
111704438	1
15450996	1
39311638	1
90484508	1
71627462	1
27744185	1
15075753	1
15416505	1
59145948	1
23016395	1
56401482	1
158414847	1
65493023	1
5561412	1
15428227	1
18280993	1
59031230	1
10069612	1
15824288	1
5357812	1
17171111	1
26657119	1
37986651	1
9532402	1
331816614	1
243291022	1
59157393	1
17454769	1
20002401	1
22012091	1
86177206	1
17006036	1
20957191	1
13393052	1
13524182	1
16674443	1
14587949	1
14669951	1
19435965	1
17918065	1
196168350	1
24431892	1
32010840	1
22170482	1
14695985	1
17006157	1
14738157	1
33276161	1
115979444	1
41634520	1
15764644	1
151106990	1
24735461	1
640893	1
17004618	1
240760644	1
18217624	1
115967474	1
169198625	1
19466786	1
15740204	1
17017636	1
20713061	1
21660348	1
373551970	1
287413569	1
18490262	1
66602794	1
111721601	1
92186819	1
300560155	1
21789463	1
87510313	1
136389258	1
294728278	1
18906561	1
50055701	1
30313925	1
19891734	1
262019800	1
19926671	1
7356562	1
128393253	1
58379000	1
237403203	1
54412900	1
70526457	1
25203361	1
46016028	1
217547360	1
251314451	1
357606935	1
172858784	1
813286	1
219429281	1
19269183	1
183062944	1
282296663	1
17074440	1
11469852	1
15224867	1
26548315	1
171171584	1
15234546	1
20608910	1
21344507	1
110445334	1
71294756	1
4119741	1
12354832	1
14434063	1
18646108	1
20109973	1
14412533	1
16311797	1
8953122	1
14413466	1
14515799	1
45190383	1
13493302	1
262089175	2
478820830	2
240754067	2
18130907	2
186753523	2
109139717	2
78707151	2
169648640	2
174340218	2
182022795	2
7881152	2
561460575	2
199938770	2
41563087	2
33688391	2
249493871	2
53752145	2
472058554	2
61602761	2
63822814	2
66324525	2
16036040	2
112522735	2
59437793	2
289923577	2
15237481	2
279308347	2
32869315	2
61863287	2
56496252	2
146488259	2
49544176	2
17351008	2
205879120	2
86373006	2
15836475	2
419691496	2
21478989	2
85648829	2
114780096	2
17908396	2
419933986	2
93349233	2
349210319	2
26802475	2
153830550	2
242721621	2
234903540	2
502098863	2
8286092	2
21422192	2
69744678	2
80859792	2
480785251	2
238727335	2
15920899	2
279773670	2
79476319	2
555719982	2
334083282	2
7911232	2
91356019	2
40798908	2
46713270	2
250152503	2
175093089	2
520703572	2
384457565	2
14336965	2
18784113	2
256590701	2
177276790	2
118705604	2
267281129	2
80679797	2
217384571	2
30500835	2
115583131	2
