2012-03-24	3	109622
2012-03-24	null	354406
2012-03-25	1	800
2012-03-25	2	82148
2012-03-25	3	109581
2012-03-25	null	367362
2012-03-26	1	1865
2012-03-26	2	98572
2012-03-26	3	138024
2012-03-26	null	437102
2012-03-27	1	2034
2012-03-27	2	104371
2012-03-27	3	138098
2012-03-27	null	433257
2012-03-28	1	1862
2012-03-28	2	105486
2012-03-28	3	140205
2012-03-28	null	462862
2012-03-29	1	1830
2012-03-29	2	102830
2012-03-29	3	136131
2012-03-29	null	404408
2012-03-30	1	1809
2012-03-30	2	100458
2012-03-30	3	136036
2012-03-30	null	421821
2012-03-31	1	692
2012-03-31	2	78251
2012-03-31	3	105979
2012-03-31	null	314861
2012-04-01	1	857
2012-04-01	2	77012
2012-04-01	3	102767
2012-04-01	null	302533
2012-04-02	1	1676
2012-04-02	2	96012
2012-04-02	3	135755
2012-04-02	null	378844
2012-04-03	1	2083
2012-04-03	2	103407
2012-04-03	3	140593
2012-04-03	null	425769
2012-04-04	1	1726
2012-04-04	2	97689
2012-04-04	3	138065
2012-04-04	null	424953
2012-04-05	1	1608
2012-04-05	2	97625
2012-04-05	3	134140
2012-04-05	null	415520
2012-04-06	1	1500
2012-04-06	2	90182
2012-04-06	3	129970
2012-04-06	null	425857
2012-04-07	1	711
2012-04-07	2	71538
2012-04-07	3	99978
2012-04-07	null	322766
2012-04-08	1	654
2012-04-08	2	67302
2012-04-08	3	97083
2012-04-08	null	353508
2012-04-09	1	1468
2012-04-09	2	89772
2012-04-09	3	130689
2012-04-09	null	436950
2012-04-10	1	2031
2012-04-10	2	103314
2012-04-10	3	140017
2012-04-10	null	467540
2012-04-11	1	1997
2012-04-11	2	107160
2012-04-11	3	143444
2012-04-11	null	490688
2012-04-12	1	2191
2012-04-12	2	108991
2012-04-12	3	143191
2012-04-12	null	440120
2012-04-13	1	2063
2012-04-13	2	103369
2012-04-13	3	137609
2012-04-13	null	407602
2012-04-14	1	806
2012-04-14	2	79005
2012-04-14	3	106188
2012-04-14	null	341987
2012-04-15	1	795
2012-04-15	2	77723
2012-04-15	3	102596
2012-04-15	null	346552
2012-04-16	1	1880
2012-04-16	2	100298
2012-04-16	3	133603
2012-04-16	null	450404
2012-04-17	1	2148
2012-04-17	2	103216
2012-04-17	3	139892
2012-04-17	null	436675
2012-04-18	1	2069
2012-04-18	2	107117
2012-04-18	3	138235
2012-04-18	null	446041
2012-04-19	1	1864
2012-04-19	2	99870
2012-04-19	3	134054
2012-04-19	null	424963
2012-04-20	1	1725
2012-04-20	2	96777
2012-04-20	3	133472
2012-04-20	null	386738
2012-04-21	1	929
2012-04-21	2	76477
2012-04-21	3	105194
2012-04-21	null	314246
2012-04-22	1	1032
2012-04-22	2	80400
2012-04-22	3	108311
2012-04-22	null	353702
2012-04-23	1	1972
2012-04-23	2	99283
2012-04-23	3	134659
2012-04-23	null	430653
2012-04-24	1	2199
2012-04-24	2	103843
2012-04-24	3	142158
2012-04-24	null	484944
2012-04-25	1	2211
2012-04-25	2	104888
2012-04-25	3	143345
2012-04-25	null	445771
2012-04-26	1	2233
2012-04-26	2	103983
2012-04-26	3	138980
2012-04-26	null	474712
2012-04-27	1	1792
2012-04-27	2	98028
2012-04-27	3	135507
2012-04-27	null	395856
2012-04-28	1	962
2012-04-28	2	77255
2012-04-28	3	106221
2012-04-28	null	358535
2012-04-29	1	728
2012-04-29	2	74518
2012-04-29	3	102143
2012-04-29	null	352544
2012-04-30	1	2025
2012-04-30	2	97901
2012-04-30	3	132235
2012-04-30	null	461745
2012-05-01	1	2420
2012-05-01	2	104693
2012-05-01	3	136176
2012-05-01	null	475042
2012-05-02	1	2044
2012-05-02	2	99127
2012-05-02	3	132013
2012-05-02	null	452001
2012-05-03	1	1964
2012-05-03	2	98043
2012-05-03	3	132428
2012-05-03	null	449712
2012-05-04	1	1639
2012-05-04	2	96765
2012-05-04	3	129339
2012-05-04	null	398508
2012-05-05	1	969
2012-05-05	2	78064
2012-05-05	3	99473
2012-05-05	null	379809
2012-05-06	1	803
2012-05-06	2	78710
2012-05-06	3	101833
2012-05-06	null	381907
2012-05-07	1	8
2012-05-07	2	1759
2012-05-07	3	2382
2012-05-07	null	7648
