2011-12-31	planned parenthood	2
2011-12-31	rush limbaugh	1
2012-01-01	komen	3
2012-01-01	planned parenthood	21
2012-01-01	rush limbaugh	3
2012-01-01	zimmerman	16
2012-01-02	komen	10
2012-01-02	planned parenthood	28
2012-01-02	rush limbaugh	12
2012-01-02	zimmerman	30
2012-01-03	komen	3
2012-01-03	planned parenthood	83
2012-01-03	rush limbaugh	49
2012-01-03	zimmerman	6
2012-01-04	komen	5
2012-01-04	planned parenthood	156
2012-01-04	rush limbaugh	47
2012-01-04	zimmerman	6
2012-01-05	komen	3
2012-01-05	planned parenthood	81
2012-01-05	rush limbaugh	37
2012-01-05	zimmerman	7
2012-01-06	komen	5
2012-01-06	planned parenthood	43
2012-01-06	rush limbaugh	14
2012-01-06	trayvon	1
2012-01-06	zimmerman	5
2012-01-07	komen	7
2012-01-07	planned parenthood	11
2012-01-07	rush limbaugh	13
2012-01-07	zimmerman	8
2012-01-08	komen	3
2012-01-08	planned parenthood	3
2012-01-08	rush limbaugh	6
2012-01-08	zimmerman	4
2012-01-09	komen	5
2012-01-09	planned parenthood	4
2012-01-09	rush limbaugh	9
2012-01-09	zimmerman	2
2012-01-10	rush limbaugh	1
2012-01-11	komen	4
2012-01-11	planned parenthood	36
2012-01-11	rush limbaugh	39
2012-01-11	zimmerman	2
2012-01-12	komen	13
2012-01-12	planned parenthood	52
2012-01-12	rush limbaugh	41
2012-01-12	zimmerman	2
2012-01-13	komen	8
2012-01-13	planned parenthood	57
2012-01-13	rush limbaugh	111
2012-01-13	zimmerman	11
2012-01-14	komen	7
2012-01-14	planned parenthood	133
2012-01-14	rush limbaugh	55
2012-01-14	zimmerman	8
2012-01-15	komen	8
2012-01-15	planned parenthood	32
2012-01-15	rush limbaugh	41
2012-01-15	zimmerman	5
2012-01-16	komen	11
2012-01-16	planned parenthood	118
2012-01-16	rush limbaugh	31
2012-01-16	zimmerman	8
2012-01-17	komen	7
2012-01-17	planned parenthood	28
2012-01-17	rush limbaugh	15
2012-01-17	zimmerman	9
2012-01-24	komen	1
2012-01-24	planned parenthood	7
2012-01-24	rush limbaugh	3
2012-01-24	zimmerman	2
2012-02-09	komen	364
2012-02-09	planned parenthood	451
2012-02-09	rush limbaugh	85
2012-02-09	zimmerman	16
2012-02-10	komen	363
2012-02-10	planned parenthood	707
2012-02-10	rush limbaugh	91
2012-02-10	zimmerman	27
2012-02-11	komen	151
2012-02-11	planned parenthood	325
2012-02-11	rush limbaugh	36
2012-02-11	zimmerman	14
2012-02-12	komen	87
2012-02-12	planned parenthood	180
2012-02-12	rush limbaugh	15
2012-02-12	zimmerman	12
2012-02-13	komen	259
2012-02-13	planned parenthood	273
2012-02-13	rush limbaugh	55
2012-02-13	zimmerman	14
2012-02-14	komen	101
2012-02-14	planned parenthood	284
2012-02-14	rush limbaugh	67
2012-02-14	zimmerman	12
2012-02-15	komen	86
2012-02-15	planned parenthood	299
2012-02-15	rush limbaugh	69
2012-02-15	trayvon	1
2012-02-15	zimmerman	9
2012-02-16	komen	62
2012-02-16	planned parenthood	462
2012-02-16	rush limbaugh	124
2012-02-16	sandra fluke	68
2012-02-16	trayvon	1
2012-02-16	zimmerman	16
2012-02-17	komen	132
2012-02-17	planned parenthood	373
2012-02-17	rush limbaugh	78
2012-02-17	sandra fluke	5
2012-02-17	zimmerman	42
2012-02-18	komen	57
2012-02-18	planned parenthood	288
2012-02-18	rush limbaugh	86
2012-02-18	sandra fluke	3
2012-02-18	zimmerman	66
2012-02-19	komen	34
2012-02-19	planned parenthood	348
2012-02-19	rush limbaugh	40
2012-02-19	zimmerman	18
2012-02-20	komen	62
2012-02-20	planned parenthood	183
2012-02-20	rush limbaugh	50
2012-02-20	zimmerman	37
2012-02-21	komen	48
2012-02-21	planned parenthood	218
2012-02-21	rush limbaugh	108
2012-02-21	sandra fluke	5
2012-02-21	zimmerman	16
2012-02-22	komen	64
2012-02-22	planned parenthood	592
2012-02-22	rush limbaugh	62
2012-02-22	sandra fluke	19
2012-02-22	zimmerman	20
2012-02-23	komen	80
2012-02-23	planned parenthood	351
2012-02-23	rush limbaugh	54
2012-02-23	sandra fluke	153
2012-02-23	zimmerman	59
2012-02-24	komen	45
2012-02-24	planned parenthood	349
2012-02-24	rush limbaugh	62
2012-02-24	sandra fluke	4
2012-02-24	zimmerman	35
2012-02-25	komen	38
2012-02-25	planned parenthood	126
2012-02-25	rush limbaugh	58
2012-02-25	sandra fluke	3
2012-02-25	trayvon	1
2012-02-25	zimmerman	37
2012-02-26	komen	28
2012-02-26	planned parenthood	119
2012-02-26	rush limbaugh	107
2012-02-26	sandra fluke	1
2012-02-26	zimmerman	104
2012-02-27	komen	56
2012-02-27	planned parenthood	242
2012-02-27	rush limbaugh	134
